1;2;7.8378;2457090;2457088
2;4;6.1341;1839298;1839296
3;4;8.3451;2330993;2330991
4;4;6.7875;2038801;2038799
5;4;7.5364;2201798;2201796
6;3;4.6831;1480966;1480964
7;3;8.8346;2356610;2356608
8;2;6.6518;2167921;2167919
9;3;6.7018;1630118;1630116
10;2;8.2374;2072485;2072483
11;11;14.8972;3388865;3388863
12;3;6.2508;1766278;1766276
13;4;9.0434;2977374;2977372
14;9;8.8015;2908056;2908054
15;3;4.1605;1491265;1491263
16;3;6.0168;1892919;1892917
17;9;7.1423;2186349;2186347
18;17;10.2505;3405595;3405593
19;7;8.1191;2839314;2839312
20;3;6.9657;2379697;2379695
21;5;5.5881;1943246;1943244
22;8;5.5205;2012186;2012184
23;3;5.4221;1814419;1814417
24;6;4.0189;1545339;1545337
25;6;9.0184;2841459;2841457
