1;2;0.9737;328814;328813
2;0;0.0100;6589;6588
3;2;0.2797;120178;120177
4;0;1.7431;611946;611945
5;0;0.2943;139473;139472
6;0;0.0481;24524;24523
7;0;0.2767;128309;128308
8;0;0.0075;3885;3884
9;0;0.1576;73408;73407
10;0;0.3104;151875;151874
11;0;0.0494;23595;23594
12;0;0.1042;51146;51145
13;0;0.0365;16778;16777
14;0;0.0965;46964;46963
15;0;0.0873;40173;40172
16;0;0.7906;244591;244590
17;0;0.0793;36154;36153
18;0;0.0515;29971;29970
19;0;0.2142;101812;101811
20;0;0.0434;22763;22762
21;0;0.5606;259602;259601
22;0;0.0410;19659;19658
23;0;0.3837;185861;185860
24;0;0.0718;30023;30022
25;0;0.0139;7041;7040
