1;7;11.4959;4111752;4111748
2;7;11.8620;4294001;4293997
3;10;11.7401;4145675;4145671
4;8;10.7757;3890484;3890480
5;11;13.1480;4564080;4564076
6;11;11.4662;4023634;4023630
7;8;14.2746;5303132;5303128
8;8;11.2846;4246303;4246299
9;7;10.1136;3575249;3575245
10;9;11.3562;4148118;4148114
11;23;20.8588;6755099;6755095
12;18;14.8392;4954137;4954133
13;9;12.9442;4715470;4715466
14;13;15.0424;5588009;5588005
15;18;17.1210;5535715;5535711
16;6;10.1975;3912287;3912283
17;12;10.9960;4110070;4110066
18;27;16.9159;6129746;6129742
19;11;14.8553;5595192;5595188
20;6;11.4811;4254933;4254929
21;11;10.7120;3900933;3900929
22;17;17.2558;5969181;5969177
23;7;9.0189;3337162;3337158
24;15;11.5755;4008123;4008119
25;8;12.2325;4390059;4390055
